ID,SensorType,Temperature,Status
0,Thermocouple,25.52,Outlier
0,RTD,-8.00,Outlier
0,Thermo-Optical,500.41,Outlier
0,Thermo-Acoustic,75.00,Outlier
1,Thermocouple,25.64,Outlier
1,RTD,-49.00,Outlier
1,Thermo-Optical,544.93,Outlier
1,Thermo-Acoustic,250.00,Outlier
2,Thermocouple,25.56,Outlier
2,RTD,-16.00,Outlier
2,Thermo-Optical,538.77,Outlier
2,Thermo-Acoustic,75.00,Outlier
3,Thermocouple,25.63,Outlier
3,RTD,18.00,Outlier
3,Thermo-Optical,406.98,Outlier
3,Thermo-Acoustic,250.00,Outlier
4,Thermocouple,25.50,Outlier
4,RTD,-42.00,Outlier
4,Thermo-Optical,479.60,Outlier
4,Thermo-Acoustic,200.00,Outlier
5,Thermocouple,25.60,Outlier
5,RTD,26.00,Outlier
5,Thermo-Optical,570.34,Outlier
5,Thermo-Acoustic,250.00,Outlier
6,Thermocouple,25.64,Outlier
6,RTD,26.00,Outlier
6,Thermo-Optical,414.06,Outlier
6,Thermo-Acoustic,200.00,Outlier
7,Thermocouple,25.51,Outlier
7,RTD,-48.00,Outlier
7,Thermo-Optical,450.39,Outlier
7,Thermo-Acoustic,75.00,Outlier
8,Thermocouple,25.58,Outlier
8,RTD,-31.00,Outlier
8,Thermo-Optical,556.65,Outlier
8,Thermo-Acoustic,225.00,Outlier
9,Thermocouple,25.58,Outlier
9,RTD,-38.00,Outlier
9,Thermo-Optical,460.75,Outlier
9,Thermo-Acoustic,100.00,Outlier
10,Thermocouple,25.56,Outlier
10,RTD,-20.00,Outlier
10,Thermo-Optical,427.22,Outlier
10,Thermo-Acoustic,100.00,Outlier
11,Thermocouple,25.54,Outlier
11,RTD,-36.00,Outlier
11,Thermo-Optical,525.78,Outlier
11,Thermo-Acoustic,175.00,Valid
12,Thermocouple,25.67,Outlier
12,RTD,-47.00,Outlier
12,Thermo-Optical,562.25,Outlier
12,Thermo-Acoustic,75.00,Outlier
13,Thermocouple,25.50,Outlier
13,RTD,39.00,Outlier
13,Thermo-Optical,538.77,Outlier
13,Thermo-Acoustic,50.00,Outlier
14,Thermocouple,25.59,Outlier
14,RTD,16.00,Outlier
14,Thermo-Optical,391.59,Outlier
14,Thermo-Acoustic,125.00,Outlier
15,Thermocouple,25.65,Outlier
15,RTD,17.00,Outlier
15,Thermo-Optical,465.68,Outlier
15,Thermo-Acoustic,175.00,Valid
16,Thermocouple,25.62,Outlier
16,RTD,24.00,Outlier
16,Thermo-Optical,556.65,Outlier
16,Thermo-Acoustic,100.00,Outlier
17,Thermocouple,25.58,Outlier
17,RTD,-37.00,Outlier
17,Thermo-Optical,414.06,Outlier
17,Thermo-Acoustic,100.00,Outlier
18,Thermocouple,25.56,Outlier
18,RTD,7.00,Outlier
18,Thermo-Optical,547.93,Outlier
18,Thermo-Acoustic,75.00,Outlier
19,Thermocouple,25.61,Outlier
19,RTD,14.00,Outlier
19,Thermo-Optical,529.12,Outlier
19,Thermo-Acoustic,50.00,Outlier
20,Thermocouple,25.61,Outlier
20,RTD,-14.00,Outlier
20,Thermo-Optical,439.26,Outlier
20,Thermo-Acoustic,25.00,Outlier
21,Thermocouple,25.62,Outlier
21,RTD,-9.00,Outlier
21,Thermo-Optical,518.90,Outlier
21,Thermo-Acoustic,50.00,Outlier
22,Thermocouple,25.72,Outlier
22,RTD,-41.00,Outlier
22,Thermo-Optical,504.27,Outlier
22,Thermo-Acoustic,50.00,Outlier
23,Thermocouple,25.53,Outlier
23,RTD,23.00,Outlier
23,Thermo-Optical,479.60,Outlier
23,Thermo-Acoustic,150.00,Outlier
24,Thermocouple,25.63,Outlier
24,RTD,-7.00,Outlier
24,Thermo-Optical,562.25,Outlier
24,Thermo-Acoustic,175.00,Outlier
25,Thermocouple,25.72,Outlier
25,RTD,-8.00,Outlier
25,Thermo-Optical,391.59,Outlier
25,Thermo-Acoustic,225.00,Outlier
26,Thermocouple,25.61,Outlier
26,RTD,43.00,Outlier
26,Thermo-Optical,578.10,Outlier
26,Thermo-Acoustic,200.00,Outlier
27,Thermocouple,25.51,Outlier
27,RTD,42.00,Outlier
27,Thermo-Optical,374.14,Outlier
27,Thermo-Acoustic,125.00,Outlier
28,Thermocouple,25.53,Outlier
28,RTD,-27.00,Outlier
28,Thermo-Optical,522.37,Outlier
28,Thermo-Acoustic,225.00,Outlier
29,Thermocouple,25.65,Outlier
29,RTD,-18.00,Outlier
29,Thermo-Optical,538.77,Outlier
29,Thermo-Acoustic,150.00,Outlier
30,Thermocouple,25.60,Outlier
30,RTD,-11.00,Outlier
30,Thermo-Optical,583.11,Outlier
30,Thermo-Acoustic,50.00,Outlier
31,Thermocouple,25.56,Outlier
31,RTD,26.00,Outlier
31,Thermo-Optical,427.22,Outlier
31,Thermo-Acoustic,125.00,Outlier
32,Thermocouple,25.50,Outlier
32,RTD,-37.00,Outlier
32,Thermo-Optical,492.40,Outlier
32,Thermo-Acoustic,50.00,Outlier
33,Thermocouple,25.70,Outlier
33,RTD,15.00,Outlier
33,Thermo-Optical,420.79,Outlier
33,Thermo-Acoustic,100.00,Outlier
34,Thermocouple,25.57,Outlier
34,RTD,18.00,Outlier
34,Thermo-Optical,391.59,Outlier
34,Thermo-Acoustic,100.00,Outlier
35,Thermocouple,25.73,Outlier
35,RTD,-14.00,Outlier
35,Thermo-Optical,433.37,Outlier
35,Thermo-Acoustic,250.00,Outlier
36,Thermocouple,25.66,Outlier
36,RTD,41.00,Outlier
36,Thermo-Optical,567.68,Outlier
36,Thermo-Acoustic,200.00,Outlier
37,Thermocouple,25.52,Outlier
37,RTD,16.00,Outlier
37,Thermo-Optical,460.75,Outlier
37,Thermo-Acoustic,225.00,Outlier
38,Thermocouple,25.62,Outlier
38,RTD,-33.00,Outlier
38,Thermo-Optical,518.90,Outlier
38,Thermo-Acoustic,100.00,Outlier
39,Thermocouple,25.56,Outlier
39,RTD,-50.00,Outlier
39,Thermo-Optical,535.61,Outlier
39,Thermo-Acoustic,150.00,Outlier
40,Thermocouple,25.55,Outlier
40,RTD,-21.00,Outlier
40,Thermo-Optical,559.47,Outlier
